Data;Transaction ID;Num;Title;Description;Commodity/Currency;ReasonToCancel;Action;Summary;Full Account Name;Account Title;Amount With Sym;Amount Num;Acknowledge;Reconcile Date;Rate/Price
08.02.2020;ab494a8f88f64affb47a7f0e3a6278f1;;;;CURRENCY::RUB;;;;Пассивы  :Flat:heating;heating;-1092.54 р.;-1092.54;n;;1.0000
02.06.2022;9a9907e6386745de8eecea360f9bfea6;;;;CURRENCY::RUB;;;;Пассивы  :Flat:heating;heating;615.41 р.;615.41;n;;1.0000
